          DH  INJV           Xt           Mt          XMt          NDH
     0.02705   0.2      0.00000      0.00000      0.00000      0.00000
     0.01171   3.0      0.00000      0.00000      0.00000      0.00000
    -0.04255   3.0      0.00000      0.00000      0.00000      0.00000
    -0.01898   3.0      0.00000      0.00000      0.00000      0.00000
     0.01910   3.0      0.00000      0.00000      0.00000      0.00000
     0.03863   3.0      0.00000      0.00000      0.00000      0.00000
     0.05054   3.0      0.00000      0.00000      0.00000      0.00000
     0.04410   3.0      0.00000      0.00000      0.00000      0.00000
     0.04337   3.0      0.00000      0.00000      0.00000      0.00000
    -0.01771   3.0      0.00000      0.00000      0.00000      0.00000
     0.01397   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
